00:00|晚上十二點多鐘|直等到晚上十二點多鐘，新人方才回來|二十年目睹之怪现状|吴趼人|sfw
00:00|十二點多鐘|吃過晚飯，又俄延到了十二點多鐘，方才起身|二十年目睹之怪现状|吴趼人|sfw
00:00|十二點鐘|大少爺從十點多鐘跪起，足足跪到十二點鐘。|二十年目睹之怪现状|吴趼人|sfw
00:00|晚上十二點鐘|拜堂的吉時聽說在晚上十二點鐘，這邊新人也要晚上上轎。|二十年目睹之怪现状|吴趼人|sfw
00:00|晚上十二點鐘|明日是親迎喜期，拜堂的吉時聽說在晚上十二點鐘，這邊新人也要晚上上轎，所以用了燈船|二十年目睹之怪现状|吴趼人|sfw
01:00|晚上一點鐘|當下晚上一點鐘開行，次日到了江陰，夜來又過了鎮江|二十年目睹之怪现状|吴趼人|sfw
01:00|晚上一點鐘|當下晚上一點鐘開行，次日到了江陰，夜來又過了鎮江。|二十年目睹之怪现状|吴趼人|sfw
02:00|兩點鐘|直到兩點鐘時，船上茶房到各艙裡喊道：「送客的上岸啊！開船啊！」|二十年目睹之怪现状|吴趼人|sfw
03:00|三點多鐘|這一夜，熱的睡不著，直到三點多鐘，方才退盡了暑氣，朦朧睡去。|二十年目睹之怪现状|吴趼人|sfw
03:00|夜間三點多鐘|當晚預備來日一早動身，不意到了夜間三點多鐘，忽然接著督轅傳見的差信，說是制台立等問話|冷眼观|王濬卿|sfw
04:00|四點鐘|只要能在四點鐘以前清了艙，答應他五十元酬謝。|二十年目睹之怪现状|吴趼人|sfw
05:30|五點半鐘|我看看表時，已是五點半鐘。德泉叫茶房去把藕切了，燉起酒來。|二十年目睹之怪现状|吴趼人|sfw
07:00|七點鐘|我早起七點鐘出來，此刻已經下午三點多鐘了。|二十年目睹之怪现状|吴趼人|sfw
07:00|早晨七點鐘|那天在賭場裏整奔忙了一夜，兩眼裝在額上的踱回寓所，已在早晨七點鐘，只見門口站著個女房東，手裏捏著一封信，見他來，老遠地喊道：「好了，先生回來了|孽海花|曾朴|sfw
07:00|早晨七點鐘|戴升道："早晨七點鐘上院，九點下來|官场现形记|李伯元|sfw
07:00|清早七點鐘|各官自清早七點鐘上院，一等等到十二點，制臺方才統通見完|官场现形记|李伯元|sfw
08:00|早上八點鐘|從早上八點鐘趕到十一點鐘，畫好了三張，方才坐席吃酒|二十年目睹之怪现状|吴趼人|sfw
08:00|早上八點鐘|從早上八點鐘趕到十一點鐘，畫好了三張，方才坐席吃酒。|二十年目睹之怪现状|吴趼人|sfw
08:00|早晨八點鐘|這天自從早晨八點鐘入局，輪流做莊，一直到晚未曾住手|官场现形记|李伯元|sfw
09:15|九點一刻|看看鐘才九點一刻，於是穿了長衣，同德泉慢慢的走去。|二十年目睹之怪现状|吴趼人|sfw
10:00|十點鐘|再坐一會，已是十點鐘時候，遂會了茶帳回去。|二十年目睹之怪现状|吴趼人|sfw
11:00|十一點鐘|從早上八點鐘趕到十一點鐘，畫好了三張，方才坐席吃酒|二十年目睹之怪现状|吴趼人|sfw
11:00|十一點鐘|我本來一早就進城的，因為繞了這大圈子，鬧到十一點鐘方才到家。|二十年目睹之怪现状|吴趼人|sfw
11:45|午時三刻|沒多時，法場中間，人分開處，一個報，報道一聲「午時三刻|水浒传|施耐庵|sfw
11:45|午時三刻|押到市曹十字路口，團團鎗棒圍住，把宋江面南背北，將戴宗面北背南，兩個納坐下，只等午時三刻監斬官到來開刀|水浒传|施耐庵|sfw
11:45|午時三刻|君臣兩個對弈，此棋正下到午時三刻，一盤殘局未終。|西游记|吴承恩|sfw
11:45|午時三刻|先生曰：「你明日午時三刻，該赴人曹官魏徵處聽斬。」|西游记|吴承恩|sfw
11:45|午時三刻|君臣兩個對弈，此棋正下到午時三刻，一盤殘局未終，魏徵忽然俯伏在案邊，鼾鼾盹睡|西游记|吴承恩|sfw
11:45|午時三刻|卻說魏徵丞相在府，夜觀乾象，正爇寶香，只聞得九霄鶴唳，卻是天差仙使，捧玉帝金旨一道，著他午時三刻，夢斬涇河老龍|西游记|吴承恩|sfw
12:00|十二點鐘正午|吃到了十二點鐘正午，方才用泥金調了硃砂，點過眼睛。|二十年目睹之怪现状|吴趼人|sfw
12:00|正午|行者念咒語，驚動太子，把旗捲起，卻早見日光正午。|西游记|吴承恩|sfw
12:30|十二點半|取出表一看，已經十二點半了。|二十年目睹之怪现状|吴趼人|sfw
13:00|一點鐘|今日一點鐘，我具了個小東，叫個小船，喝口酒去。|二十年目睹之怪现状|吴趼人|sfw
13:00|午後一點多鍾|一覺醒來，已是午後一點多鍾，忙著披衣起坐，棧夥送上臉水，漱洗已畢，我就捧了一支水煙袋，有意無意的踱將出去|冷眼观|王濬卿|sfw
